docid,content
13,"2016 Nissan Maxima 3.5 Platinum, 21697, Gun Metallic, Cashmere, Front-wheel Drive, 22–30, Gasoline, Automatic CVT, 3.5L V6 24V MPFI DOHC, 80955, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
14,"2016 BMW X3 xDrive28i, 23369, Space Gray Metallic, Black, All-wheel Drive, 21–28, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 81348, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
15,"2020 Nissan Pathfinder SV, 25519, Glacier White, Charcoal, Front-wheel Drive, 20–27, Gasoline, Automatic CVT, 3.5L V6 24V GDI DOHC, 46602, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
16,"2018 Cadillac Escalade Luxury, 59998, Dark Adriatic Blue Metallic, Kona Brown, 4WD, 14–21, Gasoline, 10-Speed Automatic, 6.2L V8 16V GDI OHV, 49977, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
17,"2017 Mercedes-Benz AMG C 63 S, 83988, designo Cardinal Red Metallic, Cranberry Red, Rear-wheel Drive, 17–22, Gasoline, 7-Speed Automatic, 4.0L V8 32V GDI DOHC Twin Turbo, 12383, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
18,"2018 Ford Escape Titanium, 25411, Blue Metallic, Charcoal Black, Front-wheel Drive, 21–28, Gasoline, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 47114, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
19,"2020 Ford F-150 Lariat, 51991, Agate Black Metallic, Black, Four-wheel Drive, 18–23, Gasoline, 10-Speed Automatic, 5.0L V8 32V PDI DOHC, 10113, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
20,"2020 Ford Edge SEL, 30997, Magnetic Metallic, Ebony, All-wheel Drive, 21–28, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 27075, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
21,"2020 Volvo S60 T5 Momentum, 32900, Osmium Gray Metallic, Charcoal, Front-wheel Drive, 23–34, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 20077, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
22,"2018 Audi Q5 2.0T Tech Premium, 37039, Mythos Black Metallic, Black, All-wheel Drive, 23–27, Gasoline, 7-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 24586, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
23,"2018 Jeep Wrangler Unlimited Sport, 37595, Granite Crystal Clearcoat Metallic, Black, Four-wheel Drive, 17–23, Gasoline, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC, 49136, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
24,"2018 Honda Odyssey EX-L, 34175, Crystal Black Pearl, Mocha, Front-wheel Drive, 19–28, Gasoline, 9-Speed Automatic, 3.5L V6 24V GDI SOHC, 22069, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
25,"2010 Ferrari California , 89855, Blue, Brown, Rear-wheel Drive, 13–19, Gasoline, 7-Speed Automatic with Auto-Shift, 4.3L V8 32V GDI DOHC, 48895, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
26,"2013 Jaguar XJ L Portfolio, 28977, Ultimate Black, Jet, All-wheel Drive, 16–24, Gasoline, 8-Speed Automatic, 3.0L V6 24V GDI DOHC Supercharged, 31208, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
27,"2020 Acura MDX 3.5L Technology & A-Spec Pkgs, 48000, Black, Ebony, All-wheel Drive, 19–25, Gasoline, 9-Speed Automatic, 3.5L V6 24V GDI SOHC, 12021, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
28,"2018 Audi RS 5 2.9T, 68900, Mythos Black Metallic, Black / Gray, All-wheel Drive, 18–26, Gasoline, 8-Speed Automatic, 2.9L V6 24V GDI DOHC Twin Turbo, 12825, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
29,"2017 Volvo XC90 T6 Inscription, 37949, Onyx Black, Charcoal, All-wheel Drive, 20–25, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC, 62047, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
30,"2021 Hyundai Palisade Limited, 49000, Moonlight Cloud, Black, All-wheel Drive, 19–24, Gasoline, 8-Speed Automatic, 3.8L V6 24V GDI DOHC, 11040, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
31,"2020 Nissan Murano SL, 40750, Brilliant Silver Metallic, Graphite, All-wheel Drive, 20–28, Gasoline, Automatic CVT, 3.5L V6 24V MPFI DOHC, 13566, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
32,"2021 Toyota Highlander Hybrid Platinum, 49846, Black, –, All-wheel Drive, 35–34, Hybrid, Automatic CVT, 2.5L I4 16V PDI DOHC Hybrid, 35335, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
33,"2021 Hyundai Palisade SE, 39700, Becketts Black, Gray, All-wheel Drive, 19–24, Gasoline, 8-Speed Automatic, 3.8L V6 24V GDI DOHC, 13587, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
34,"2020 Lexus NX 300 F Sport, 38689, Atomic Silver, Red, Front-wheel Drive, 22–28, Gasoline, 6-Speed Automatic, 2.0L I4 16V PDI DOHC Turbo, 26583, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
35,"2019 Kia Optima LX, 14800, Black, Black, Front-wheel Drive, 24–33, Gasoline, 6-Speed Automatic, 2.4L I4 16V GDI DOHC, 31992, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
36,"2016 Acura MDX , 25987, –, –, All-wheel Drive, 18–26, Gasoline, 9-Speed Automatic, 3.5L V6 24V GDI SOHC, 63779, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
37,"2019 Ford F-150 Raptor, 77980, Oxford White, Black, Four-wheel Drive, 15–18, Gasoline, Automatic, V6 Cylinder Engine, 17765, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
38,"2019 Audi Q8 3.0T Premium, 86000, Samurai Gray Metallic, Black, All-wheel Drive, 17–22, Gasoline, 8-Speed Automatic, 3.0L V6 24V GDI DOHC Turbo, 10349, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
39,"2020 BMW X5 xDrive40i, 59990, Metallic, Ivory White, All-wheel Drive, 20–26, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 17029, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
40,"2015 Lexus GX 460 Luxury, 36699, Pearl White, Beige, Four-wheel Drive, 15–20, Gasoline, 6-Speed Automatic, 4.6L V8 32V MPFI DOHC, 80455, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
41,"2020 Jeep Wrangler Unlimited Rubicon, 53988, Granite Crystal Clearcoat Metallic, Black, Four-wheel Drive, 17–23, Gasoline, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC, 20821, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
42,"2018 Lexus GX 460 Luxury, 48408, Black Onyx, Black, Four-wheel Drive, 15–18, Gasoline, 6-Speed Automatic, 4.6L V8 32V MPFI DOHC, 58917, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
43,"2015 Mercedes-Benz S-Class S 550 4MATIC, 43000, Ruby Black Metallic, Silk Beige / Espresso Brown, All-wheel Drive, 16–26, Gasoline, 7-Speed Automatic, 4.7L V8 32V GDI DOHC Twin Turbo, 80216, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
44,"2019 Ford Expedition Max Platinum, 66500, Agate Black Metallic, Ebony, Four-wheel Drive, Transmission, Gasoline, 10-Speed Automatic, 3.5L V6 24V GDI DOHC Twin Turbo, 21888, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
45,"2014 Land Rover Range Rover 5.0L Supercharged, 37255, Corris Gray Metallic, Ebony / Cirrus, Four-wheel Drive, 14–19, Gasoline, 8-Speed Automatic, 5.0L V8 32V GDI DOHC Supercharged, 68419, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
46,"2018 Lexus ES 300h Base, 30455, Black, Black, Front-wheel Drive, 40–39, Hybrid, Automatic CVT, 2.5L I4 16V MPFI DOHC Hybrid, 23741, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
47,"2016 Mercedes-Benz AMG G AMG G 65 4MATIC, 139995, Black, Designo Black, AWD, Transmission, Gasoline, 7-Speed Automatic, 6.0L V12 36V MPFI SOHC Twin Turbo, 29596, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
48,"2018 Cadillac XT5 Luxury, 29966, Blue, Beige, All-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 3.6L V6 24V GDI DOHC, 71765, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
49,"2017 Hyundai Elantra Limited, 12995, Blue, Grey, Front-wheel Drive, 0–0, Gasoline, Automatic, 2.4, 30557, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
50,"2020 Chevrolet Express 2500 2500 Cargo Van, 22995, Summit White, Grey, Rear-wheel Drive, 0–0, Gasoline, Automatic, Engine, 4.3L V6 with Direct Injection and Variable Valve Timing,, 12677, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
51,"2009 Chevrolet Corvette W/3LT, 28995, White, –, Rear-wheel Drive, Transmission, Gasoline, 6-Speed Automatic, 6.2L V8 16V MPFI OHV, 54893, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
52,"2021 Lexus GX 460 Base, 63500, Starfire Pearl, Black, Four-wheel Drive, 15–19, Gasoline, 6-Speed Automatic, 4.6L V8 32V MPFI DOHC, 10787, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
53,"2015 Jeep Grand Cherokee SRT, 44895, Bright White Clearcoat, Red / Black, Four-wheel Drive, 13–19, Gasoline, 8-Speed Automatic, 6.4L V8 16V MPFI OHV, 43715, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
54,"2018 Toyota 4Runner Limited, 40992, Super White, Sand Beige, Rear-wheel Drive, 17–21, Gasoline, 5-Speed Automatic, 4.0L V6 24V MPFI DOHC, 69525, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
55,"2018 Toyota 4Runner Limited, 44592, Blizzard Pearl, Brown, Four-wheel Drive, 17–20, Gasoline, 5-Speed Automatic, 4.0L V6 24V MPFI DOHC, 54981, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
56,"2018 Lexus RX 350L Premium, 40495, Gray, Black, All-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 3.5L V6 24V MPFI DOHC, 48639, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
57,"2021 BMW M340 i xDrive, 55884, Black Sapphire Metallic, Black, All-wheel Drive, 22–31, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 18473, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
58,"2019 Audi S5 3.0T Premium Plus, 56800, Quantum Gray, Magma Red, All-wheel Drive, 21–30, Gasoline, 8-Speed Automatic, 3.0L V6 24V GDI DOHC Turbo, 13245, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
59,"2020 Jeep Compass Latitude, 24999, Billet Silver Clearcoat Metallic, Black, Four-wheel Drive, 22–31, Gasoline, 6-Speed Manual, 2.4L I4 16V MPFI SOHC, 13892, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
60,"2020 Mercedes-Benz GLE 350 Base 4MATIC, 59904, Brilliant Blue Metallic, Black, All-wheel Drive, 19–26, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 21372, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
61,"2019 Mazda CX-9 Grand Touring, 35369, Titanium Flash Mica, Sand, Front-wheel Drive, 22–28, Gasoline, 6-Speed Automatic, 2.5L I4 16V GDI DOHC Turbo, 27972, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
62,"2016 Toyota Land Cruiser V8, 56596, White, Black, Four-wheel Drive, 13–18, Gasoline, 8-Speed Automatic, 5.7L V8 32V MPFI DOHC, 71629, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
63,"2016 Mercedes-Benz S-Class S 550, 47998, designo Diamond White Metallic, Tan, Rear-wheel Drive, 17–26, Gasoline, 7-Speed Automatic, 4.7L V8 32V GDI DOHC Twin Turbo, 67129, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
64,"2016 Nissan Maxima 3.5 Platinum, 25898, Gun Metallic, Charcoal, Front-wheel Drive, 22–30, Gasoline, Automatic CVT, 3.5L V6 24V MPFI DOHC, 38139, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
65,"2020 Mazda CX-5 Touring, 24889, Sonic Silver Metallic, Black, Front-wheel Drive, 25–31, Gasoline, 6-Speed Automatic, 2.5L I4 16V GDI DOHC, 46337, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
66,"2020 Acura MDX 3.5L w/Technology Package, 47991, Majestic Black Pearl, Ebony, Front-wheel Drive, 20–27, Gasoline, 9-Speed Automatic, 3.5L V6 24V GDI SOHC, 13928, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
67,"2016 Nissan Maxima 3.5 Platinum, 21697, Gun Metallic, Cashmere, Front-wheel Drive, 22–30, Gasoline, Automatic CVT, 3.5L V6 24V MPFI DOHC, 80955, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
68,"2019 Toyota Camry XSE, 33897, Black, Red, Front-wheel Drive, 28–39, Gasoline, 8-Speed Automatic, 2.5L I4 16V PDI DOHC, 41619, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
69,"2016 Mercedes-Benz S-Class S 550, 41999, White, Beige, Rear-wheel Drive, 17–26, Gasoline, 7-Speed Automatic, 4.7L V8 32V GDI DOHC Twin Turbo, 36065, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
70,"2016 Mercedes-Benz S-Class S 550, 53990, Blue, Gray, Rear-wheel Drive, 17–26, Gasoline, 7-Speed Automatic, 4.7L V8 32V GDI DOHC Twin Turbo, 29910, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
71,"2015 Tesla Model S 85D, 44995, Red, Tan, All-wheel Drive, Transmission, Electric, 1-Speed Automatic, Electric, 65856, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
72,"2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line, 43999, Platinum Gray Metallic, Titan Black, Front-wheel Drive, 17–23, Gasoline, 8-Speed Automatic, 3.6L V6 24V GDI DOHC, 11223, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
73,"2016 BMW X3 xDrive28i, 23369, Space Gray Metallic, Black, All-wheel Drive, 21–28, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 81348, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
74,"2020 Kia Forte LXS, 17949, Silky Silver, Black, Front-wheel Drive, Transmission, Gasoline, Automatic CVT, 2.0L I4 16V MPFI DOHC, 46508, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
75,"2020 Mercedes-Benz GLB 250 Base 4MATIC, 49450, Polar White, Black, All-wheel Drive, 23–31, Gasoline, 8-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 15560, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
76,"2020 Ford F-150 Lariat, 56990, Lead Foot, Black, Four-wheel Drive, 18–23, Gasoline, 10-Speed Automatic, 5.0L V8 32V PDI DOHC, 13232, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
77,"2020 Ford F-150 XLT, 42480, Magnetic, Black, Four-wheel Drive, Transmission, Gasoline, 10-Speed Automatic, 3.5L V6 24V PDI DOHC Twin Turbo, 17153, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
78,"2019 BMW X3 sDrive30i, 39473, Terra Brown Metallic, Beige, Rear-wheel Drive, 23–30, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 12710, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
79,"2020 Volkswagen Tiguan 2.0T S, 24719, Pure White, Titan Black, Front-wheel Drive, 22–29, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 14837, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
80,"2021 BMW X5 xDrive40i, 70990, Arctic Gray Metallic, Coffee, All-wheel Drive, 21–25, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 10889, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
81,"2017 Audi A6 2.0T Premium, 28323, Tornado Gray Metallic, Black, Front-wheel Drive, 24–34, Gasoline, 7-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 33329, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
82,"2015 Lexus GX 460 Base, 34500, Black, Black, Four-wheel Drive, 15–20, Gasoline, 6-Speed Automatic, 4.6L V8 32V MPFI DOHC, 82362, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
83,"2014 BMW X5 xDrive35i, 24991, Imperial Blue Metallic, Mocha, All-wheel Drive, 18–27, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 79964, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
84,"2019 Ford F-150 Raptor, 68980, Oxford White, Black, Four-wheel Drive, 15–18, Gasoline, 10-Speed Automatic, 3.5L V6 24V PDI DOHC Twin Turbo, 21572, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
85,"2020 Nissan Pathfinder SV, 25519, Glacier White, Charcoal, Front-wheel Drive, 20–27, Gasoline, Automatic CVT, 3.5L V6 24V GDI DOHC, 46602, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
86,"2020 Nissan Pathfinder SV, 26499, Caspian Blue Metallic, Charcoal, Four-wheel Drive, 0–27, Gasoline, Variable, Regular Unleaded V-6 3.5 L/213, 41415, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
87,"2014 Lexus GS 350 Base, 24400, Black, Black, All-wheel Drive, 19–26, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 21041, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
88,"2018 Cadillac Escalade Luxury, 59998, Dark Adriatic Blue Metallic, Kona Brown, 4WD, 14–21, Gasoline, 10-Speed Automatic, 6.2L V8 16V GDI OHV, 49977, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
89,"2019 Acura RDX A-Spec, 37889, Apex Blue Pearl, Red, Front-wheel Drive, 22–27, Gasoline, 10-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 43399, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
90,"2020 Nissan Murano SV, 29389, Super Black Metallic, Graphite, Front-wheel Drive, 20–28, Gasoline, Automatic CVT, 3.5L V6 24V MPFI DOHC, 41635, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
91,"2018 BMW 530e iPerformance, 37489, White, Black, Rear-wheel Drive, Transmission, Hybrid, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo Hybrid, 29020, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
92,"2013 BMW 328 i, 10995, –, –, Rear-wheel Drive, 23–33, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 86380, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
93,"2020 Chevrolet Corvette Stingray w/2LT, 97800, Torch Red, –, Rear-wheel Drive, 15–27, Gasoline, 8-Speed Automatic with Auto-Shift, 6.2L V8 16V GDI OHV, 10706, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
