,name,price,exterior_color,interior_color,drive_train,mpg,fuel_type,transmission,engine,mileage,heated_seats,heated_steering_wheel,nav_sys,remote_start,carplay,bluetooth,brake_assist,blind_spot_monitor,year,drive_train_simple,fuel_type_simple,turbo,emission,cylinder,average_mpg,transmission_simple,price_level
10,2020 Mercedes-Benz GLE 350 Base 4MATIC,59904,Brilliant Blue Metallic,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,21372,True,False,True,True,True,True,True,False,2020,AWD,Gasoline,True,2.0,I4,22.5,9,moderate
11,2019 Mazda CX-9 Grand Touring,35369,Titanium Flash Mica,Sand,Front-wheel Drive,22–28,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,27972,True,True,True,False,False,True,True,True,2019,FWD,Gasoline,True,2.5,I4,25.0,6,moderate
12,2016 Mercedes-Benz S-Class S 550,47998,designo Diamond White Metallic,Tan,Rear-wheel Drive,17–26,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,67129,False,False,True,False,False,True,True,False,2016,RWD,Gasoline,True,4.7,V8,21.5,7,moderate
13,2016 Nissan Maxima 3.5 Platinum,21697,Gun Metallic,Cashmere,Front-wheel Drive,22–30,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,80955,True,True,True,True,False,True,True,True,2016,FWD,Gasoline,False,3.5,V6,26.0,-1,moderate
14,2016 BMW X3 xDrive28i,23369,Space Gray Metallic,Black,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,81348,True,True,True,False,False,True,True,False,2016,AWD,Gasoline,True,2.0,I4,24.5,8,moderate
15,2020 Nissan Pathfinder SV,25519,Glacier White,Charcoal,Front-wheel Drive,20–27,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,46602,False,False,False,True,False,True,True,True,2020,FWD,Gasoline,False,3.5,V6,23.5,-1,moderate
16,2018 Cadillac Escalade Luxury,59998,Dark Adriatic Blue Metallic,Kona Brown,4WD,14–21,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,49977,False,True,True,True,True,True,True,False,2018,AWD,Gasoline,False,6.2,V8,17.5,10,moderate
17,2017 Mercedes-Benz AMG C 63 S,83988,designo Cardinal Red Metallic,Cranberry Red,Rear-wheel Drive,17–22,Gasoline,7-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,12383,True,False,True,True,False,True,True,False,2017,RWD,Gasoline,True,4.0,V8,19.5,7,expensive
18,2018 Ford Escape Titanium,25411,Blue Metallic,Charcoal Black,Front-wheel Drive,21–28,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,47114,True,True,True,True,True,True,True,True,2018,FWD,Gasoline,True,2.0,I4,24.5,6,moderate
19,2020 Ford F-150 Lariat,51991,Agate Black Metallic,Black,Four-wheel Drive,18–23,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,10113,True,True,False,True,True,True,True,True,2020,AWD,Gasoline,False,5.0,V8,20.5,10,moderate
20,2020 Ford Edge SEL,30997,Magnetic Metallic,Ebony,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,27075,True,True,True,True,True,True,True,True,2020,AWD,Gasoline,True,2.0,I4,24.5,8,moderate
21,2020 Volvo S60 T5 Momentum,32900,Osmium Gray Metallic,Charcoal,Front-wheel Drive,23–34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,20077,False,False,False,True,True,True,True,False,2020,FWD,Gasoline,True,2.0,I4,28.5,8,moderate
22,2018 Audi Q5 2.0T Tech Premium,37039,Mythos Black Metallic,Black,All-wheel Drive,23–27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,24586,True,True,True,False,True,True,True,True,2018,AWD,Gasoline,True,2.0,I4,25.0,7,moderate
23,2018 Jeep Wrangler Unlimited Sport,37595,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,49136,False,False,False,False,False,True,True,False,2018,AWD,Gasoline,False,3.6,V6,20.0,8,moderate
24,2018 Honda Odyssey EX-L,34175,Crystal Black Pearl,Mocha,Front-wheel Drive,19–28,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,22069,True,False,False,True,True,True,True,True,2018,FWD,Gasoline,False,3.5,V6,23.5,9,moderate
25,2010 Ferrari California ,89855,Blue,Brown,Rear-wheel Drive,13–19,Gasoline,7-Speed Automatic with Auto-Shift,4.3L V8 32V GDI DOHC,48895,False,False,True,False,False,True,False,False,2010,RWD,Gasoline,False,4.3,V8,16.0,7,expensive
26,2013 Jaguar XJ L Portfolio,28977,Ultimate Black,Jet,All-wheel Drive,16–24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,31208,False,True,True,False,False,True,True,False,2013,AWD,Gasoline,False,3.0,V6,20.0,8,moderate
27,2020 Acura MDX 3.5L Technology & A-Spec Pkgs,48000,Black,Ebony,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,12021,True,False,True,True,True,True,True,False,2020,AWD,Gasoline,False,3.5,V6,22.0,9,moderate
28,2018 Audi RS 5 2.9T,68900,Mythos Black Metallic,Black / Gray,All-wheel Drive,18–26,Gasoline,8-Speed Automatic,2.9L V6 24V GDI DOHC Twin Turbo,12825,True,False,True,False,True,True,True,True,2018,AWD,Gasoline,True,2.9,V6,22.0,8,expensive
29,2017 Volvo XC90 T6 Inscription,37949,Onyx Black,Charcoal,All-wheel Drive,20–25,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,62047,True,False,True,True,True,True,True,False,2017,AWD,Gasoline,False,2.0,I4,22.5,8,moderate
30,2021 Hyundai Palisade Limited,49000,Moonlight Cloud,Black,All-wheel Drive,19–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,11040,True,True,True,True,True,True,True,False,2021,AWD,Gasoline,False,3.8,V6,21.5,8,moderate
31,2020 Nissan Murano SL,40750,Brilliant Silver Metallic,Graphite,All-wheel Drive,20–28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,13566,True,True,True,True,True,True,True,True,2020,AWD,Gasoline,False,3.5,V6,24.0,-1,moderate
32,2021 Toyota Highlander Hybrid Platinum,49846,Black,–,All-wheel Drive,35–34,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,35335,True,True,True,True,True,True,True,False,2021,AWD,Hybrid,False,2.5,I4,34.0,-1,moderate
33,2021 Hyundai Palisade SE,39700,Becketts Black,Gray,All-wheel Drive,19–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,13587,False,False,False,False,True,True,True,False,2021,AWD,Gasoline,False,3.8,V6,21.5,8,moderate
34,2020 Lexus NX 300 F Sport,38689,Atomic Silver,Red,Front-wheel Drive,22–28,Gasoline,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,26583,False,True,False,True,False,True,True,False,2020,FWD,Gasoline,True,2.0,I4,25.0,6,moderate
35,2019 Kia Optima LX,14800,Black,Black,Front-wheel Drive,24–33,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,31992,False,False,False,False,True,True,True,False,2019,FWD,Gasoline,False,2.4,I4,28.5,6,cheap
36,2016 Acura MDX ,25987,–,–,All-wheel Drive,18–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,63779,True,False,False,False,False,True,True,False,2016,AWD,Gasoline,False,3.5,V6,22.0,9,moderate
37,2019 Ford F-150 Raptor,77980,Oxford White,Black,Four-wheel Drive,15–18,Gasoline,Automatic,V6 Cylinder Engine,17765,False,False,True,True,True,True,True,False,2019,AWD,Gasoline,False,-1.0,V6,16.5,-1,expensive
38,2019 Audi Q8 3.0T Premium,86000,Samurai Gray Metallic,Black,All-wheel Drive,17–22,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,10349,True,True,True,False,True,True,True,True,2019,AWD,Gasoline,True,3.0,V6,19.5,8,expensive
39,2020 BMW X5 xDrive40i,59990,Metallic,Ivory White,All-wheel Drive,20–26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,17029,True,True,True,True,False,True,True,True,2020,AWD,Gasoline,True,3.0,I6,23.0,8,moderate
40,2015 Lexus GX 460 Luxury,36699,Pearl White,Beige,Four-wheel Drive,15–20,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,80455,True,True,True,False,False,True,True,True,2015,AWD,Gasoline,False,4.6,V8,17.5,6,moderate
41,2020 Jeep Wrangler Unlimited Rubicon,53988,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,20821,False,True,True,True,True,True,True,True,2020,AWD,Gasoline,False,3.6,V6,20.0,8,moderate
42,2018 Lexus GX 460 Luxury,48408,Black Onyx,Black,Four-wheel Drive,15–18,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,58917,True,True,True,False,False,True,True,False,2018,AWD,Gasoline,False,4.6,V8,16.5,6,moderate
43,2015 Mercedes-Benz S-Class S 550 4MATIC,43000,Ruby Black Metallic,Silk Beige / Espresso Brown,All-wheel Drive,16–26,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,80216,True,False,True,False,False,True,True,True,2015,AWD,Gasoline,True,4.7,V8,21.0,7,moderate
44,2019 Ford Expedition Max Platinum,66500,Agate Black Metallic,Ebony,Four-wheel Drive,Transmission,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,21888,True,True,True,True,True,True,True,False,2019,AWD,Gasoline,True,3.5,V6,-1.0,10,expensive
45,2014 Land Rover Range Rover 5.0L Supercharged,37255,Corris Gray Metallic,Ebony / Cirrus,Four-wheel Drive,14–19,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,68419,True,True,True,False,True,True,True,False,2014,AWD,Gasoline,False,5.0,V8,16.5,8,moderate
46,2018 Lexus ES 300h Base,30455,Black,Black,Front-wheel Drive,40–39,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,23741,True,False,True,False,False,True,True,False,2018,FWD,Hybrid,False,2.5,I4,39.0,-1,moderate
47,2016 Mercedes-Benz AMG G AMG G 65 4MATIC,139995,Black,Designo Black,AWD,Transmission,Gasoline,7-Speed Automatic,6.0L V12 36V MPFI SOHC Twin Turbo,29596,True,True,True,False,False,True,True,False,2016,AWD,Gasoline,True,6.0,V12,-1.0,7,expensive
48,2018 Cadillac XT5 Luxury,29966,Blue,Beige,All-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,71765,True,True,True,True,False,True,True,False,2018,AWD,Gasoline,False,3.6,V6,21.5,8,moderate
49,2017 Hyundai Elantra Limited,12995,Blue,Grey,Front-wheel Drive,0–0,Gasoline,Automatic,2.4,30557,False,False,True,False,False,False,False,False,2017,FWD,Gasoline,False,2.4,,0.0,-1,cheap
50,2020 Chevrolet Express 2500 2500 Cargo Van,22995,Summit White,Grey,Rear-wheel Drive,0–0,Gasoline,Automatic,"Engine, 4.3L V6 with Direct Injection and Variable Valve Timing,",12677,False,False,True,True,False,True,False,True,2020,RWD,Gasoline,False,4.3,V6,0.0,-1,moderate
51,2009 Chevrolet Corvette W/3LT,28995,White,–,Rear-wheel Drive,Transmission,Gasoline,6-Speed Automatic,6.2L V8 16V MPFI OHV,54893,True,False,True,False,False,True,False,False,2009,RWD,Gasoline,False,6.2,V8,-1.0,6,moderate
52,2021 Lexus GX 460 Base,63500,Starfire Pearl,Black,Four-wheel Drive,15–19,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,10787,True,False,True,False,False,True,True,False,2021,AWD,Gasoline,False,4.6,V8,17.0,6,expensive
53,2015 Jeep Grand Cherokee SRT,44895,Bright White Clearcoat,Red / Black,Four-wheel Drive,13–19,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,43715,True,True,True,True,False,True,True,True,2015,AWD,Gasoline,False,6.4,V8,16.0,8,moderate
54,2018 Toyota 4Runner Limited,40992,Super White,Sand Beige,Rear-wheel Drive,17–21,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,69525,True,False,True,False,False,True,True,False,2018,RWD,Gasoline,False,4.0,V6,19.0,5,moderate
55,2018 Toyota 4Runner Limited,44592,Blizzard Pearl,Brown,Four-wheel Drive,17–20,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,54981,False,False,True,False,False,True,True,False,2018,AWD,Gasoline,False,4.0,V6,18.5,5,moderate
56,2018 Lexus RX 350L Premium,40495,Gray,Black,All-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.5L V6 24V MPFI DOHC,48639,False,False,False,False,False,True,True,False,2018,AWD,Gasoline,False,3.5,V6,21.5,8,moderate
57,2021 BMW M340 i xDrive,55884,Black Sapphire Metallic,Black,All-wheel Drive,22–31,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,18473,False,False,True,False,False,True,True,False,2021,AWD,Gasoline,True,3.0,I6,26.5,8,moderate
58,2019 Audi S5 3.0T Premium Plus,56800,Quantum Gray,Magma Red,All-wheel Drive,21–30,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo,13245,True,False,False,False,False,True,True,False,2019,AWD,Gasoline,True,3.0,V6,25.5,8,moderate
59,2020 Jeep Compass Latitude,24999,Billet Silver Clearcoat Metallic,Black,Four-wheel Drive,22–31,Gasoline,6-Speed Manual,2.4L I4 16V MPFI SOHC,13892,False,False,False,False,True,True,True,False,2020,AWD,Gasoline,False,2.4,I4,26.5,6,moderate
60,2020 Mercedes-Benz GLE 350 Base 4MATIC,59904,Brilliant Blue Metallic,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,21372,True,False,True,True,True,True,True,False,2020,AWD,Gasoline,True,2.0,I4,22.5,9,moderate
61,2019 Mazda CX-9 Grand Touring,35369,Titanium Flash Mica,Sand,Front-wheel Drive,22–28,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,27972,True,True,True,False,False,True,True,True,2019,FWD,Gasoline,True,2.5,I4,25.0,6,moderate
62,2016 Toyota Land Cruiser V8,56596,White,Black,Four-wheel Drive,13–18,Gasoline,8-Speed Automatic,5.7L V8 32V MPFI DOHC,71629,True,True,True,False,False,True,True,True,2016,AWD,Gasoline,False,5.7,V8,15.5,8,moderate
63,2016 Mercedes-Benz S-Class S 550,47998,designo Diamond White Metallic,Tan,Rear-wheel Drive,17–26,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,67129,False,False,True,False,False,True,True,False,2016,RWD,Gasoline,True,4.7,V8,21.5,7,moderate
64,2016 Nissan Maxima 3.5 Platinum,25898,Gun Metallic,Charcoal,Front-wheel Drive,22–30,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,38139,False,True,True,True,False,True,True,False,2016,FWD,Gasoline,False,3.5,V6,26.0,-1,moderate
65,2020 Mazda CX-5 Touring,24889,Sonic Silver Metallic,Black,Front-wheel Drive,25–31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,46337,True,False,False,False,True,True,True,True,2020,FWD,Gasoline,False,2.5,I4,28.0,6,moderate
66,2020 Acura MDX 3.5L w/Technology Package,47991,Majestic Black Pearl,Ebony,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,13928,True,False,True,True,True,True,True,False,2020,FWD,Gasoline,False,3.5,V6,23.5,9,moderate
67,2016 Nissan Maxima 3.5 Platinum,21697,Gun Metallic,Cashmere,Front-wheel Drive,22–30,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,80955,True,True,True,True,False,True,True,True,2016,FWD,Gasoline,False,3.5,V6,26.0,-1,moderate
68,2019 Toyota Camry XSE,33897,Black,Red,Front-wheel Drive,28–39,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,41619,True,False,False,True,False,True,True,False,2019,FWD,Gasoline,False,2.5,I4,33.5,8,moderate
69,2016 Mercedes-Benz S-Class S 550,41999,White,Beige,Rear-wheel Drive,17–26,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,36065,True,False,True,False,False,True,True,False,2016,RWD,Gasoline,True,4.7,V8,21.5,7,moderate
70,2016 Mercedes-Benz S-Class S 550,53990,Blue,Gray,Rear-wheel Drive,17–26,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,29910,True,False,True,False,False,True,True,False,2016,RWD,Gasoline,True,4.7,V8,21.5,7,moderate
71,2015 Tesla Model S 85D,44995,Red,Tan,All-wheel Drive,Transmission,Electric,1-Speed Automatic,Electric,65856,False,False,True,True,False,True,True,False,2015,AWD,Electric,False,0.0,E,0.0,0,moderate
72,2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,43999,Platinum Gray Metallic,Titan Black,Front-wheel Drive,17–23,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,11223,True,False,False,True,False,True,True,False,2021,FWD,Gasoline,False,3.6,V6,20.0,8,moderate
73,2016 BMW X3 xDrive28i,23369,Space Gray Metallic,Black,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,81348,True,True,True,False,False,True,True,False,2016,AWD,Gasoline,True,2.0,I4,24.5,8,moderate
74,2020 Kia Forte LXS,17949,Silky Silver,Black,Front-wheel Drive,Transmission,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,46508,False,False,False,False,True,True,True,False,2020,FWD,Gasoline,False,2.0,I4,-1.0,-1,cheap
75,2020 Mercedes-Benz GLB 250 Base 4MATIC,49450,Polar White,Black,All-wheel Drive,23–31,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,15560,False,False,True,True,True,True,True,True,2020,AWD,Gasoline,True,2.0,I4,27.0,8,moderate
76,2020 Ford F-150 Lariat,56990,Lead Foot,Black,Four-wheel Drive,18–23,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,13232,False,False,False,True,False,True,True,True,2020,AWD,Gasoline,False,5.0,V8,20.5,10,moderate
77,2020 Ford F-150 XLT,42480,Magnetic,Black,Four-wheel Drive,Transmission,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,17153,False,False,True,True,True,True,True,True,2020,AWD,Gasoline,True,3.5,V6,-1.0,10,moderate
78,2019 BMW X3 sDrive30i,39473,Terra Brown Metallic,Beige,Rear-wheel Drive,23–30,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,12710,True,False,True,False,True,True,True,True,2019,RWD,Gasoline,True,2.0,I4,26.5,8,moderate
79,2020 Volkswagen Tiguan 2.0T S,24719,Pure White,Titan Black,Front-wheel Drive,22–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,14837,False,False,False,False,True,True,True,True,2020,FWD,Gasoline,True,2.0,I4,25.5,8,moderate
80,2021 BMW X5 xDrive40i,70990,Arctic Gray Metallic,Coffee,All-wheel Drive,21–25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,10889,False,False,True,False,False,True,True,False,2021,AWD,Gasoline,True,3.0,I6,23.0,8,expensive
81,2017 Audi A6 2.0T Premium,28323,Tornado Gray Metallic,Black,Front-wheel Drive,24–34,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,33329,True,False,True,False,False,True,True,False,2017,FWD,Gasoline,True,2.0,I4,29.0,7,moderate
82,2015 Lexus GX 460 Base,34500,Black,Black,Four-wheel Drive,15–20,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,82362,True,False,False,False,False,True,True,False,2015,AWD,Gasoline,False,4.6,V8,17.5,6,moderate
83,2014 BMW X5 xDrive35i,24991,Imperial Blue Metallic,Mocha,All-wheel Drive,18–27,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,79964,True,True,True,False,False,True,True,False,2014,AWD,Gasoline,True,3.0,I6,22.5,8,moderate
84,2019 Ford F-150 Raptor,68980,Oxford White,Black,Four-wheel Drive,15–18,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,21572,False,True,True,True,True,True,True,True,2019,AWD,Gasoline,True,3.5,V6,16.5,10,expensive
85,2020 Nissan Pathfinder SV,25519,Glacier White,Charcoal,Front-wheel Drive,20–27,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,46602,False,False,False,True,False,True,True,True,2020,FWD,Gasoline,False,3.5,V6,23.5,-1,moderate
86,2020 Nissan Pathfinder SV,26499,Caspian Blue Metallic,Charcoal,Four-wheel Drive,0–27,Gasoline,Variable,Regular Unleaded V-6 3.5 L/213,41415,False,False,False,True,False,True,True,True,2020,AWD,Gasoline,False,3.5,V6,13.5,-1,moderate
87,2014 Lexus GS 350 Base,24400,Black,Black,All-wheel Drive,19–26,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,21041,True,False,False,False,False,True,True,False,2014,AWD,Gasoline,False,3.5,V6,22.5,6,moderate
88,2018 Cadillac Escalade Luxury,59998,Dark Adriatic Blue Metallic,Kona Brown,4WD,14–21,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,49977,False,True,True,True,True,True,True,False,2018,AWD,Gasoline,False,6.2,V8,17.5,10,moderate
89,2019 Acura RDX A-Spec,37889,Apex Blue Pearl,Red,Front-wheel Drive,22–27,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,43399,True,False,True,False,False,True,True,True,2019,FWD,Gasoline,True,2.0,I4,24.5,10,moderate
90,2020 Nissan Murano SV,29389,Super Black Metallic,Graphite,Front-wheel Drive,20–28,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,41635,False,False,False,True,True,True,True,True,2020,FWD,Gasoline,False,3.5,V6,24.0,-1,moderate
91,2018 BMW 530e iPerformance,37489,White,Black,Rear-wheel Drive,Transmission,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,29020,True,False,True,False,False,True,True,False,2018,RWD,Hybrid,True,2.0,I4,-1.0,8,moderate
92,2013 BMW 328 i,10995,–,–,Rear-wheel Drive,23–33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,86380,False,False,False,False,False,True,True,False,2013,RWD,Gasoline,True,2.0,I4,28.0,8,cheap
93,2020 Chevrolet Corvette Stingray w/2LT,97800,Torch Red,–,Rear-wheel Drive,15–27,Gasoline,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,10706,False,True,True,True,True,True,False,False,2020,RWD,Gasoline,False,6.2,V8,21.0,8,expensive
94,2021 Toyota 4Runner SR5 Premium,39000,Classic Silver Metallic,Black / Graphite,Four-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,4750,True,False,True,False,True,True,True,False,2021,AWD,Gasoline,False,4.0,V6,17.5,5,moderate
95,2017 Mercedes-Benz AMG C 63 S,83988,designo Cardinal Red Metallic,Cranberry Red,Rear-wheel Drive,17–22,Gasoline,7-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,12383,True,False,True,True,False,True,True,False,2017,RWD,Gasoline,True,4.0,V8,19.5,7,expensive
96,2015 Lexus RC 350 Base,36990,White,Black,Rear-wheel Drive,19–28,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,48628,False,False,False,False,False,True,True,False,2015,RWD,Gasoline,False,3.5,V6,23.5,8,moderate
97,2020 Chevrolet Traverse LS,36499,Satin Steel Metallic,Jet Black,Front-wheel Drive,18–27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,21938,False,False,False,False,True,True,True,False,2020,FWD,Gasoline,False,3.6,V6,22.5,9,moderate
98,2020 Chrysler Pacifica Hybrid Limited,50075,Ceramic Gray Clearcoat,Black,Front-wheel Drive,Transmission,Hybrid,Automatic CVT,3.6L V6 24V MPFI DOHC Hybrid,2585,False,True,True,True,True,True,True,False,2020,FWD,Hybrid,False,3.6,V6,-1.0,-1,moderate
99,2019 Kia Optima LX,12990,Silver,Gray,FWD,24–33,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,47176,False,False,False,False,True,True,True,False,2019,FWD,Gasoline,False,2.4,I4,28.5,6,cheap
